hr,hum,windspeed,temp_c,feels_like_c,casual,registered,fall,spring,summer,winter,date,new,day,year,month,is_holiday,is_workday,weather,target
12,0.51,11,2.34,-0.9982,12,66,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,78
13,0.56,13,3.28,-0.9982,18,79,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,97
14,0.52,15,4.22,1.0016,9,54,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,63
15,0.52,17,5.16,1.9982,17,48,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,65
16,0.49,17,6.1,3.0014,15,68,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,83
17,0.48,15,5.16,1.9982,10,202,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,212
18,0.48,13,4.22,1.0016,3,179,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,182
19,0.48,7,3.28,1.0016,2,110,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,112
20,0.48,7,3.28,1.0016,1,53,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,54
21,0.64,0,2.34,1.9982,0,48,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,48
22,0.64,6,2.34,1.0016,1,34,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,35
23,0.69,6,1.4,-0.9982,2,9,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,11
0,0.64,0,1.4,1.0016,0,6,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,6
1,0.74,6,-0.48,-2.998,0,6,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,6
2,0.74,6,-0.48,-2.998,0,2,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,2
4,0.48,15,3.28,-0.9982,0,2,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,2
5,0.47,11,2.34,-0.9982,0,3,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,3
6,0.47,15,1.4,-2.998,0,33,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,33
7,0.43,13,0.46,-4.0012,1,87,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,88
8,0.4,20,1.4,-4.0012,3,192,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,195
9,0.37,22,2.34,-2.998,6,109,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,115
10,0.37,22,2.34,-2.998,4,53,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,57
11,0.33,22,4.22,-0.9982,12,34,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,46
12,0.33,22,4.22,-0.9982,5,74,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,79
13,0.3,20,5.16,1.0016,6,65,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,71
14,0.28,13,6.1,3.0014,10,52,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,62
15,0.28,13,6.1,3.0014,7,55,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,62
16,0.28,6,6.1,5.0012,4,85,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,89
17,0.38,13,3.28,-0.9982,4,186,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,190
18,0.38,9,3.28,-0.0016,3,166,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,169
19,0.38,7,3.28,1.0016,5,127,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,132
20,0.47,11,2.34,-0.9982,7,82,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,89
21,0.51,13,1.4,-2.998,3,40,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,43
22,0.55,9,0.46,-2.998,1,41,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,42
23,0.47,0,1.4,1.0016,1,18,0,0,0,1,1-5-2011,2011-01-05,Wednesday,is_2011,january,no,yes,clear,19
0,0.55,0,0.46,-0.0016,0,11,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,clear,11
1,0.64,0,-0.48,-0.9982,0,4,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,clear,4
2,0.64,0,-0.48,-0.9982,0,2,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,clear,2
4,0.64,6,-0.48,-2.998,0,1,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,mist,1
5,0.69,6,-1.42,-4.0012,0,4,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,mist,4
6,0.63,7,-1.42,-4.9978,0,36,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,mist,36
7,0.59,0,-0.48,-0.9982,0,95,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,mist,95
8,0.59,0,-0.48,-0.9982,3,216,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,clear,219
9,0.51,0,0.46,-0.0016,6,116,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,mist,122
10,0.47,0,1.4,1.0016,3,42,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,clear,45
11,0.44,6,2.34,1.0016,2,57,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,clear,59
12,0.35,0,4.22,3.0014,6,78,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,clear,84
13,0.35,7,4.22,1.9982,12,55,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,clear,67
14,0.36,11,5.16,1.9982,11,59,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,clear,70
15,0.36,0,5.16,1.9982,8,54,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,clear,62
16,0.38,11,4.22,1.0016,12,74,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,clear,86
17,0.51,11,2.34,-0.9982,9,163,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,clear,172
18,0.51,9,2.34,-0.9982,5,158,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,clear,163
19,0.55,6,2.34,1.0016,3,109,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,clear,112
20,0.51,11,1.4,-2.0014,3,66,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,clear,69
21,0.55,15,2.34,-2.0014,0,48,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,mist,48
22,0.51,19,2.34,-2.0014,1,51,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,mist,52
23,0.59,13,1.4,-2.998,4,19,0,0,0,1,1-6-2011,2011-01-06,Thursday,is_2011,january,no,yes,mist,23
0,0.64,13,1.4,-2.998,4,13,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,mist,17
1,0.69,15,1.4,-2.998,2,5,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,mist,7
2,0.69,15,1.4,-2.998,0,1,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,mist,1
4,0.69,9,1.4,-2.0014,0,1,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,mist,1
5,0.55,0,2.34,1.9982,0,5,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,light_snow,5
6,0.69,0,1.4,1.0016,8,26,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,mist,34
7,0.69,9,1.4,-2.0014,8,76,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,clear,84
8,0.51,17,1.4,-2.998,20,190,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,clear,210
9,0.47,20,1.4,-4.0012,9,125,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,clear,134
10,0.37,22,2.34,-2.998,16,47,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,clear,63
11,0.4,15,1.4,-2.998,19,48,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,mist,67
12,0.37,17,1.4,-2.998,9,50,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,mist,59
13,0.37,19,1.4,-4.0012,9,64,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,mist,73
14,0.4,17,1.4,-2.998,7,43,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,mist,50
15,0.37,11,1.4,-2.0014,9,63,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,mist,72
16,0.37,11,1.4,-2.0014,5,82,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,mist,87
17,0.37,0,1.4,1.0016,9,178,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,mist,187
18,0.4,6,1.4,-0.9982,7,116,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,clear,123
19,0.55,6,-0.48,-2.998,3,92,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,clear,95
20,0.47,7,0.46,-2.0014,1,50,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,clear,51
21,0.47,9,0.46,-2.998,0,39,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,clear,39
22,0.43,11,0.46,-2.998,2,34,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,mist,36
23,0.51,11,0.46,-2.998,1,14,0,0,0,1,1-7-2011,2011-01-07,Friday,is_2011,january,no,yes,mist,15
0,0.51,11,0.46,-2.998,1,24,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,mist,25
1,0.55,6,0.46,-2.0014,1,15,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,mist,16
2,0.55,0,0.46,-0.0016,3,13,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,mist,16
3,0.55,11,0.46,-2.998,0,7,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,light_snow,7
4,0.55,11,0.46,-2.998,0,1,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,light_snow,1
5,0.74,11,-0.48,-4.9978,0,5,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,mist,5
6,0.74,11,-0.48,-4.9978,0,2,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,mist,2
7,0.74,7,-0.48,-4.0012,1,8,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,mist,9
8,0.93,7,-0.48,-4.0012,0,15,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,light_snow,15
9,0.93,7,-0.48,-4.0012,0,20,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,light_snow,20
10,0.8,11,0.46,-2.998,5,56,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,mist,61
11,0.69,26,1.4,-4.0012,2,60,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,mist,62
12,0.59,24,1.4,-4.0012,8,90,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,mist,98
13,0.44,22,1.4,-4.0012,7,95,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,clear,102
14,0.32,33,1.4,-4.9978,12,83,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,clear,95
15,0.32,30,1.4,-4.9978,5,69,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,clear,74
16,0.29,30,0.46,-6.9976,8,68,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,clear,76
17,0.37,37,-0.48,-8.0008,5,64,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,clear,69
18,0.39,20,-1.42,-8.0008,3,52,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,clear,55
19,0.36,17,-1.42,-8.0008,4,26,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,clear,30
20,0.36,17,-2.36,-8.0008,0,28,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,clear,28
21,0.39,24,-2.36,-8.9974,2,35,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,clear,37
22,0.36,26,-2.36,-8.9974,1,33,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,clear,34
23,0.39,30,-3.3,-12.0004,0,22,0,0,0,1,1-8-2011,2011-01-08,Saturday,is_2011,january,no,no,clear,22
0,0.42,26,-3.3,-10.9972,1,24,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,25
1,0.42,31,-3.3,-12.0004,0,12,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,12
2,0.46,31,-3.3,-12.0004,0,11,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,11
3,0.46,28,-3.3,-10.9972,0,4,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,4
4,0.53,13,-4.24,-10.0006,0,1,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,1
5,0.53,13,-4.24,-10.0006,0,1,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,1
6,0.49,19,-3.3,-10.0006,0,1,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,1
7,0.53,13,-4.24,-10.0006,1,5,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,6
8,0.49,19,-3.3,-10.0006,0,10,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,10
9,0.46,35,-2.36,-10.9972,0,19,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,19
10,0.43,26,-1.42,-8.9974,0,49,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,49
11,0.4,35,-0.48,-8.0008,2,47,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,49
12,0.37,30,0.46,-6.9976,4,79,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,83
13,0.34,30,1.4,-4.9978,6,69,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,75
14,0.32,31,2.34,-4.0012,8,64,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,72
15,0.35,24,2.34,-2.998,5,77,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,82
16,0.34,30,1.4,-4.9978,13,79,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,92
17,0.37,26,0.46,-6.001,3,59,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,62
18,0.4,22,-0.48,-6.9976,4,44,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,48
19,0.43,22,-0.48,-6.9976,1,40,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,41
20,0.46,17,-1.42,-8.0008,0,38,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,38
21,0.46,28,-1.42,-8.9974,1,19,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,20
22,0.46,20,-1.42,-8.0008,5,10,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,15
23,0.5,13,-2.36,-6.9976,0,6,0,0,0,1,1-9-2011,2011-01-09,Sunday,is_2011,january,no,no,clear,6
0,0.5,19,-2.36,-8.0008,2,3,0,0,0,1,1-10-2011,2011-01-10,Monday,is_2011,january,no,yes,clear,5
1,0.5,19,-2.36,-8.0008,1,0,0,0,0,1,1-10-2011,2011-01-10,Monday,is_2011,january,no,yes,clear,1
2,0.5,15,-2.36,-8.0008,0,3,0,0,0,1,1-10-2011,2011-01-10,Monday,is_2011,january,no,yes,clear,3
